ID,Name,Attribute,Race,Max Lvl,Exp Curve,Max Exp,Rarity,Cost,Series,Lvl 1 HP,Lvl 1 ATK,Lvl 1 REC,Lvl Max HP,Lvl Max ATK,Lvl Max REC,Active Skill 1,Active Skill 1 Description,Active Skill 2,Active Skill 2 Description,Leader Skill,Leader Skill Description
1250,Mahonin,Light,Human,50,4000K,1000000,5,10,The Fallen Halos,638,330,105,1221,631,229,Light Beam - EX,Deal 10x Light Damage to an enemy.,,,Ire of Light,Light Attack x 3
1251,Immorality behind Royalty - Mahonin,Light,Human,99,5000K,5000000,6,16,The Fallen Halos,1390,718,229,2730,1409,515,Deliberate Trick - Light,"For 1 Round, Light Attack x 1.5; turn the first 6 Runestones touched while moving into Light Runestones.",,,Beam of Power & Desire - Human,"Light Attack x 2.  The more Humans (besides this Monster) in the Team, the higher the Light Attack, to the max x 3.5 with 5 Humans in the Team.   If all Light Runestones on the screen are dissolved, Light Attack x 1.5 additionally (only the first batch of Runestones dissolved will be counted)."
1252,Lilah the Impure Allurer,Dark,God,99,6000K,6000000,6,20,Ultimate Lords,1401,895,160,2775,1655,365,Abyss of Allurement,"For 2 Rounds, Dark Attack x 2; drop rate of Heart Runestones becomes 0.",,,Ferocity of Godly Gloom,Dark God Attack x 4.5.
1253,Sword of Epitaph - Gan Jiang & Mo Ye,Fire,Human,99,6000K,6000000,6,20,Ultimate Lords,1344,870,167,2638,1709,374,Flaming Souls of Swordsmith,"For 1 Round, when Combos of odd numbers are made, Fire Attack x 1.5; otherwise, Human and Demon Attack x 1.5.  When 6 or more Combos are made, both of the above effects will be triggered.  Only the first batch of Runestones dissolved will be counted.",,,Fury of Fire,Fire Attack x 2.5
1254,Blade of Evil Slash - Sengo Muramasa,Dark,Elf,99,6000K,6000000,6,20,Ultimate Lords,1103,708,332,2103,1351,750,Bloodthirsty Blade,"For 1 Round, Elf Attack and Recovery x 1.5; by dissolving Heart Runestones, Active Skill CDs of all Members -2.",,,Spiritual Fountain of Elves,Elf Recovery x 4.
1256,Flute of Magic Power,Water,Demon,99,4000K,4000000,6,12,Haunted Objects,894,953,64,1665,1708,281,Conversion in Desperation - Ice-cold,"If there are <5 Water Runestones, randomly turn 3 Runestones into Enchanted Water Runestones (Earth Runestones rank first in priority); otherwise, turn Water Runestones into Enchanted Water Runestones.",,,Fury of Demons,Demon Attack x 2.5
1257,Umbrella of Bloody Tears,Fire,Demon,99,4000K,4000000,6,12,Haunted Objects,937,986,50,1743,1768,222,Conversion in Desperation - Bloody Tears,"If there are <5 Fire Runestones, randomly turn 3 Runestones into Enchanted Fire Runestones (Water Runestones rank first in priority); otherwise, turn Fire Runestones into Enchanted Fire Runestones.",,,Fury of Demons,Demon Attack x 2.5
1258,Birdcage of Relentless Resentment,Earth,Human,99,4000K,4000000,6,12,Haunted Objects,1209,614,165,2374,1205,370,Liberation from Cage,HP will be fully recovered.  Release all locked Skills; nullify all Controlling Skills on all enemies.  This Skill will not be locked.,,,Fury of Human,Human Attack x 2.5
1259,Camera of Precious Flashes,Light,Human,99,4000K,4000000,6,12,Haunted Objects,1131,632,176,2220,1241,394,Flashbang,"Turn all Runestones into Enchanted Runestones.  For 1 Round, the more Enchanted Runestones dissolved, the higher the Team Attack, to the max x 2 for 25 Enchanted Runestones dissolved.",,,Fury of Human,Human Attack x 2.5
1260,Doll of Childs Play,Dark,Demon,99,4000K,4000000,6,12,Haunted Objects,721,1044,64,1342,1871,280,Possessive Promise,Team Attack x 1.5; deduct 20% of current HP each Round.  The effects stay in play until receiving Damage twice from enemies' attacks.,,,Fury of Demons,Demon Attack x 2.5
1261,Spoon of Limpidity - Raphael,Water,God,99,6000K,6000000,7,18,Keepers of Worlds,1523,830,198,3017,1534,450,Wieldy Sword - EX& Crowning of Spirits - Beaming Tides,"sOnly one effect can be selected:
For 1 Round, Water Attack x 1.8; unlimited movement of Runestones without dissolving within Runestone-moving time.
Turn Heart Runestones into Enchanted Water Runestones; Fire Runestones into Enchanted Heart Runestones; Earth Runestones into Enchanted Light Runestones.
",,,Ire of Water,Water Attack x 3
1262,Spear of Tenacity - Uriel,Fire,God,99,6000K,6000000,7,18,Keepers of Worlds,1567,874,165,3104,1616,375,Blazing Pride - EX& Crowning of Spirits - Gloomy Blaze,"eOnly one effect can be selected:
For 1 Round, Fire Attack x 1.5; Damage will be dealt regardless of enemies' Defense.
Turn Heart Runestones into Enchanted Fire Runestones; Earth Runestones into Enchanted Heart Runestones; Light Runestones into Enchanted Dark Runestones.
",,,Ire of Fire,Fire Attack x 3
1263,Eye of Compassion - Sariel,Earth,God,99,6000K,6000000,7,18,Keepers of Worlds,1708,771,178,3383,1426,405,Purifying Stance - EX& Crowning of Spirits - Beaming Earth,"hOnly one effect can be selected:
For 1 Round, Earth Attack 1.75; clear all additional effects in play.  The more effects cancelled, the higher the Earth Attack, to the max x 2.5.
Turn Heart Runestones into Enchanted Earth Runestones; Water Runestones into Enchanted Heart Runestones; Fire Runestones into Enchanted Light Runestones.
",,,Ire of Earth,Earth Attack x 3
1264,Flash of Reminiscence - Gabriel,Light,God,99,6000K,6000000,7,18,Keepers of Worlds,1618,792,191,3205,1465,435,Time of Strategy - EX& Crowning of Spirits - Tidal Beam,"mOnly one effect can be selected:
For 1 Round, Light Attack x 1.8; extend Runestone-moving time by 2 seconds.
Turn Heart Runestones into Enchanted Light Runestones; Dark Runestones into Enchanted Heart Runestones; Fire Runestones into Enchanted Water Runestones.
",,,Ire of Light,Light Attack x 3
1265,Rifle of Discernment - Raguel,Dark,God,99,6000K,6000000,7,18,Keepers of Worlds,1475,910,171,2921,1682,390,Flash of Strike - EX& Crowning of Spirits - Earthy Gloom,"mOnly one effect can be selected:
Light & Dark Attack x 2 for 1 Round.
Turn Heart Runestones into Enchanted Dark Runestones; Light Runestones into Enchanted Heart Runestones; Water Runestones into Enchanted Earth Runestones.
",,,Ire of Dark,Dark Attack x 3
1266,Thorns of Demon Blood - Louis,Water,Demon,99,5000K,5000000,7,16,Fairytales Untold,974,1285,88,1813,2302,386,Ordered Tactics - EX,"For 2 Rounds, Team Attack x 1.8; Damage received -65%.",,,Childlike Promise - Billows,"When Combos of odd numbers are made, Water Attack x 3; when Combos of even numbers are made, Water Attack x 5."
1267,Gunfire of Dazzling Flames - Doris,Fire,Demon,99,5000K,5000000,7,16,Fairytales Untold,1001,1342,70,1863,2405,310,Alternation Charge - Blaze,"Turn Earth Runestones into Fire Runestones.  The more Runestones turned, the higher the Team Attack for 1 Round, to the max x 2.2 for 6 Runestones.",,,Childlike Promise - Blaze,"When Combos of odd numbers are made, Fire Attack x 3; when Combos of even numbers are made, Fire Attack x 5."
1268,Mist of Cat Thieves - Ali Baba,Earth,Demon,99,5000K,5000000,7,16,Fairytales Untold,1096,1260,78,2040,2258,345,A Gang of Thieves - EX,"Team Attack x 2 for 1 Round; if Leader and Ally are the same, Team Attack x 3.",,,Childlike Promise - Wood,"When Combos of odd numbers are made, Earth Attack x 3; when Combos of even numbers are made, Earth Attack x 5."
1269,Liberation from Magic Lamp - Genie,Light,God,99,5000K,5000000,7,16,Fairytales Untold,1583,786,193,3136,1453,440,Alternation Charge - Beam,"Turn Dark Runestones into Light Runestones.  The more Runestones turned, the higher the Team Attack for 1 Round, to the max x 2.2 for 6 Runestones.",,,Childlike Promise - Beam,"When Combos of odd numbers are made, Light Attack x 3; when Combos of even numbers are made, Light Attack x 5."
1270,Prince of Sorrow & Happiness - Edward,Dark,God,99,5000K,5000000,7,16,Fairytales Untold,1398,937,167,2770,1732,381,The Leading General - EX,"Monster's Attack and that of the neighboring Member(s) x 3.5 for 1 Round.  If Attack of the neighboring Member(s) is lower than the Monster, the effect lasts for 2 Rounds.",,,Childlike Promise - Gloom,"When Combos of odd numbers are made, Dark Attack x 3; when Combos of even numbers are made, Dark Attack x 5."
1271,Archer,Water,Human,50,2000K,500000,3,5,Imperial Soldiers,162,73,29,552,251,122,Triple Attacks - Water,The Monster launches 3 extra Water Attacks for 1 Round.,,,Anger of Human,Human Attack x 2
1272,Spearman,Fire,Human,50,2000K,500000,3,5,Imperial Soldiers,171,78,25,581,268,103,Triple Attacks - Fire,The Monster launches 3 extra Fire Attacks for 1 Round.,,,Anger of Human,Human Attack x 2
1273,Swordsman,Earth,Human,50,2000K,500000,3,5,Imperial Soldiers,188,68,26,638,231,108,Triple Attacks - Earth,The Monster launches 3 extra Earth Attacks for 1 Round.,,,Anger of Human,Human Attack x 2
1274,Cavalryman,Light,Human,50,2000K,500000,3,5,Imperial Soldiers,174,69,29,591,234,121,Triple Attacks - Light,The Monster launches 3 extra Light Attacks for 1 Round.,,,Anger of Human,Human Attack x 2
1275,Sorcerer,Dark,Human,50,2000K,500000,3,5,Imperial Soldiers,159,80,26,541,275,107,Triple Attacks - Dark,The Monster launches 3 extra Dark Attacks for 1 Round.,,,Anger of Human,Human Attack x 2
1276,Guan Yu,Water,Human,50,4000K,1000000,5,8,Imperial Warlords,584,318,101,1118,609,220,Triple Attacks - Water,The Monster launches 3 extra Water Attacks for 1 Round.,,,Unbreakable Oath of Fraternity,"When the Team consists of only Water, Fire and Earth Monsters: Water Runestones also possess 50% effects of Fire and Earth Runestones; Fire Runestones also possess 50% effects of Water and Earth Runestones; Earth Runestones also possess 50% effects of Water and Fire Runestones (effects can be superimposed).  If 2 out of 4 types of Runestones (Water, Fire, Earth and Heart) are dissolved in the same Round, Team Attack x 2.5; if 3 types are dissolved, Team Attack x 3."
1277,Dragon Crescent Blade - Guan Yu,Water,Human,99,5000K,5000000,6,14,Imperial Warlords,1439,783,249,2825,1538,558,Blade of Tricolor Stream,"Turn Light Runestones into Water Runestones, Dark Runestones into Fire Runestones, Heart Runestones into Earth Runestones.  Water Runestones also possess 50% effect of Heart Runestones for 1 Round.",,,Unbreakable Oath of Fraternity,"When the Team consists of only Water, Fire and Earth Monsters: Water Runestones also possess 50% effects of Fire and Earth Runestones; Fire Runestones also possess 50% effects of Water and Earth Runestones; Earth Runestones also possess 50% effects of Water and Fire Runestones (effects can be superimposed).  If 2 out of 4 types of Runestones (Water, Fire, Earth and Heart) are dissolved in the same Round, Team Attack x 2.5; if 3 types are dissolved, Team Attack x 3."
1278,Cao Cao,Fire,Demon,50,4000K,1000000,5,8,Imperial Warlords,440,570,34,799,998,140,Triple Attacks - Fire,The Monster launches 3 extra Fire Attacks for 1 Round.,,,Flames of Brutal Tyrant,"Demon Attack x 2; HP & Recovery x 1.35.  Extend Runestone-moving time by 1 second.  The more groups of Fire Runestones dissolved, the higher the Fire Attack, to the max x 2.4 for 3 groups."
1279,Cao Cao the Tyrant of Brutality,Fire,Demon,99,5000K,5000000,6,14,Imperial Warlords,1001,1296,74,1863,2323,328,Extension of Fiery Stars,Turn 8 Runestones at fixed positions into Fire Runestones.  Extend Runestone-moving time to 8 seconds for 1 Round.,,,Flames of Brutal Tyrant,"Demon Attack x 2; HP & Recovery x 1.35.  Extend Runestone-moving time by 1 second.  The more groups of Fire Runestones dissolved, the higher the Fire Attack, to the max x 2.4 for 3 groups."
1280,Liu Bei,Earth,Human,50,4000K,1000000,5,8,Imperial Warlords,630,280,90,1205,536,196,Triple Attacks - Earth,The Monster launches 3 extra Earth Attacks for 1 Round.,,,Marine Spurt - Wood,Earth Attack x 2.  Water Runestones and Heart Runestones possess 50% effect of Earth Runestones
1281,Liu Bei the Leader of Anti-Tyranny,Earth,Human,99,5000K,5000000,6,14,Imperial Warlords,1551,689,220,3045,1354,495,Pursuing Rays of Light,"For 1 Round, the Monster launches an extra Light Attack for every group of Water, Fire or Earth Runestones dissolved, to the max 10 Attacks.",,,Marine Spurt - Wood,Earth Attack x 2.  Water Runestones and Heart Runestones possess 50% effect of Earth Runestones
1282,Sima Yi,Light,Human,50,4000K,1000000,5,8,Imperial Warlords,580,293,96,1110,561,209,Triple Attacks - Light,The Monster launches 3 extra Light Attacks for 1 Round.,,,Dusky Spurt - Twilight,Light Attack x 2.  Dark Runestones and Heart Runestones possess 50% effect of Light Runestones
1283,Crafty Tactician - Sima Yi,Light,Human,99,5000K,5000000,6,14,Imperial Warlords,1429,722,235,2805,1418,528,Strategy of Beam,Turn the column(s) of Runestones below Monster(s) with Skills not yet ready into Light Runestones.,,,Dusky Spurt - Twilight,Light Attack x 2.  Dark Runestones and Heart Runestones possess 50% effect of Light Runestones
1284,Zhuge Liang,Dark,Demon,50,4000K,1000000,5,8,Imperial Warlords,419,571,29,762,1000,124,Triple Attacks - Dark,The Monster launches 3 extra Dark Attacks for 1 Round.,,,Demons' Nature - Assault,Demon Attack x 3; HP and Recovery x 1.5.
1285,Intellect of Duality - Zhuge Liang,Dark,Demon,99,5000K,5000000,6,14,Imperial Warlords,954,1299,66,1775,2328,292,Crowned Chains of Shadow,Turn Dark Runestones into Enchanted Dark Runestones.  No. of Combos +8 for 1 Round.,,,Demons' Nature - Assault,Demon Attack x 3; HP and Recovery x 1.5.
1286,Sun Quan,Water,Human,50,4000K,1000000,5,8,Imperial Warlords,560,311,94,1071,596,205,Triple Attacks - Water,The Monster launches 3 extra Water Attacks for 1 Round.,,,Billowing Power of Alliance,"When the Team consists of only Water and Light Monsters, Water & Light Attack x 3.5; by dissolving Water Runestones, Team Attack x 1.5 additionally."
1287,Sun Quan the Lord of Veiled Ability,Water,Human,99,5000K,5000000,6,14,Imperial Warlords,1377,766,232,2704,1505,521,Shimmer of Watery Moon,"Turn the column of Runestones on the far left side into Water Runestones; the column of Runestones on the far right side into Light Runestones.  For 1 Round, each Water Monster launches an extra Light Attack; each Light Monster launches an extra Water Attack.",,,Billowing Power of Alliance,"When the Team consists of only Water and Light Monsters, Water & Light Attack x 3.5; by dissolving Water Runestones, Team Attack x 1.5 additionally."
1288,Da Qiao & Xiao Qiao,Light,Human,50,4000K,1000000,5,8,Imperial Warlords,603,283,98,1153,541,214,Triple Attacks - Light,The Monster launches 3 extra Light Attacks for 1 Round.,,,Safeguarding Power of Alliance,"When the Team consists of only Water and Light Monsters, Water & Light Attack x 3.5; by dissolving Light Runestones, Damage received -35%."
1289,Genuine Sentiments - Qiao Sisters,Light,Human,99,5000K,5000000,6,14,Imperial Warlords,1484,695,242,2914,1366,542,Light-conjuring Spell,"Upon Skill activation and at the beginning of next Round, turn 3 non-Water or non-Light Runestones into Enchanted Light Runestones.",,,Safeguarding Power of Alliance,"When the Team consists of only Water and Light Monsters, Water & Light Attack x 3.5; by dissolving Light Runestones, Damage received -35%."
1290,L Bu,Dark,Human,50,4000K,1000000,5,8,Imperial Warlords,583,353,74,1116,676,162,Triple Attacks - Dark,The Monster launches 3 extra Dark Attacks for 1 Round.,,,Fierceness of Roaring Tiger - Dark,"Dark Attack x 3.75.  Single Attack becomes Full Attack.  .Extend Runestone-moving time by 1 second.  By dissolving a group of 5 or more Runestones, Dark Attack increases additionally, to the max x 2.2 for 3 groups."
1291,Reincarnated Warlord - L Bu,Dark,Human,99,5000K,5000000,6,14,Imperial Warlords,1437,869,183,2820,1707,410,Overwhelming Flow of Darkness,Turn Light and Heart Runestones into Dark Runestones.,,,Fierceness of Roaring Tiger - Dark,"Dark Attack x 3.75.  Single Attack becomes Full Attack.  .Extend Runestone-moving time by 1 second.  By dissolving a group of 5 or more Runestones, Dark Attack increases additionally, to the max x 2.2 for 3 groups."
1292,Dragon of World - Zhao Yun,Water,Dragon,99,6000K,6000000,7,40,Joint Operation,2139,919,184,4310,1526,206,The Intimidating General (1673)& The Intimidating General (1674),")Only one effect can be selected:
CDs of all enemies will be delayed for 1 Round.
Unlimited Runestone movement for 15 seconds without dissolving.
",,,Roar of Dragons,Dragon Attack x 3.
1293,Wild Bear Warrior - Zhang Fei,Fire,Human,99,6000K,6000000,6,20,Ultimate Lords,1441,804,189,2828,1580,424,Crowned Spirits of Yin & Yang,Turn Light and Dark Runestones into Enchanted Heart Runestones.  Damage received -50% for 2 Rounds.,,,Xyloid Spurt - Flames,Fire Attack x 2.  Earth Runestones and Heart Runestones possess 50% effect of Fire Runestones
1294,Drifting Petals - Sun Shangxiang,Earth,Human,99,1500K,1500000,6,20,Arena,1645,637,224,3229,1250,503,Selective Coronation - Earth,"By tapping a Runestone on the Magic Circle of Elements, Runestones of that type will be turned into Enchanted Earth Runestones.",,,The Spiritual Pledge - EX,"Team Attack x 3.  In the Stage Day of Souls, there is a 30% chance an Arcane Luster appears in the last Wave of the Basic level and 50% in that of the Advanced level (the probability can be summed up)."
1295,Tragic Beauty - Zhen Fu,Light,God,99,6000K,6000000,6,20,Ultimate Lords,1597,778,197,3164,1438,448,Bewitching Fragrance - Beam,"For 2 Rounds, Light Attack & Recovery x 1.5; Light God Attack & Recovery x 2.",,,Roar of Gods,God Attack x 3.
1296,Flowery Embroidery - Diaochan,Dark,Human,99,6000K,6000000,6,20,Arena,1388,775,218,2726,1522,490,Captivating Beauty,Turn Runestones into fixed numbers of Heart Runestones and Dark Runestones.,,,The Blessing of Runestones - EX,Heart Runestones also possess 300% effects of all Attributive Runestones.
1297,Stylish Strategist in Silk - Zhou Yu,Fire,Human,99,6000K,6000000,7,40,Coliseum,1488,920,192,2921,1806,432,Flames of Burning Courage,"Explode all non-Fire Runestones 3 times successively and launch a Fire Attack of a multiplier proportionally to the no. of Runestones exploded.  If 8 or more Fire Runestones are dissolved in the Round, Fire Attack x 1.5 for 1 Round.",,,Human Spleen,Human Attack x 3
1298,Authoress Katherin,Light,Human,99,4000K,4000000,6,16,Protagonists,1423,699,216,2795,1374,485,Boundary Breaking,"3 rows of Runestones will be added, while Runestone-moving time is extended to 12 seconds.",,,Ferocity of Humans,Human Attack x 4.
1299,The Lucky Albatross,Water,Level Up Elements,1,500K,0,6,10,,365,365,365,365,365,365,Freeze,Inactivate all enemies and turn them into Water Attribute for 3 Rounds.,,,Curing Heart,Recover HP as much as the Monster's Recovery each Round (dissolving Runestones is necessary)
1300,Party Madhead,Water,Level Up Elements,1,500K,0,6,99,Special Level Up,2016,129,205,2016,129,205,Freeze,Inactivate all enemies and turn them into Water Attribute for 3 Rounds.,,,Ultimate Soul Reaping,"Launch an extra attack of as much as 6x of the Monster's Attack each Round to the enemy whose HP is below 40%, regardless of Attribute and Defense"
1306,The Antlers,Fire,Demon,99,5000K,5000000,6,15,Guild Event,821,1230,55,1527,2205,246,Handsome Deer Shooters,Turn Fire Runestones into Enchanted Fire Runestones.  The Monster will launch 3 extra Fire Attacks for 1 Round.,,,Power of Outlaw,Human and Demon Attack x 2.5
1307,The Red Noses,Fire,Demon,99,5000K,5000000,6,15,Guild Event,867,1177,64,1614,2109,280,Trio of Deer,Turn Heart Runestones into Fire Runestones.  Monster's Attack and that of the neighboring Member(s) x 2 for 1 Round.,,,Power of Outlaw,Human and Demon Attack x 2.5
1308,Mafia Gift Deliverers - Reindeers,Fire,Demon,99,10000K,10000000,7,30,Guild Event,2170,2687,195,4036,4815,856,Shooting Enchantment - Fire,Turn Heart Runestones into Enchanted Fire Runestones.,Gang of Handsome Deer,"For 1 Round, the Monster will launch 4 extra Fire Attacks; Monster's Attack and that of the neighboring Member(s) x 2",Power of Outlaw,Human and Demon Attack x 2.5
1309,Gungnir of Runes - Odin the Allfather,Dark,God,99,9000K,9000000,8,45,Sealed Lords,2282,1152,193,4520,2130,440,Ultimate Attack - EX,"For 1 Round, if HP is full upon Skill activation, HP will be depleted to 1 and turn Heart Runestones into Runestones of the Monster's Attribute; the lower the HP, the higher the Team Attack, to the max x 2.5.  If HP is not full upon Skill activation, the lower the HP, the higher the Team Attack, to the max x 3.5.",,,Will to Survive - Dark,"When HP > 50%, the next Damage received will not lead to your defeat. The Damage relieved by this Skill will be dealt to the attacking enemies as a Dark Counterattack (one activation each Round)."
1310,Odin the Fated Savior of All,Dark,God,99,9000K,9000000,8,55,Sealed Lords,2359,1250,226,4672,2309,515,Almighty Allfather,"For 1 Round, Team Attack x 2.5; if a group of 5 or more Runestones are dissolved in the columns on both the far left and far right sides, Team Attack x 2.5 in the next Round.",Gungnir Coronation,Randomly turn 5 Runestones which are not of the Monster's Attribute into Runestones of the Monster's Attribute.  Turn Heart Runestones and Runestones of the Monster's Attribute into Enchanted Runestones,Will to Survive,"When HP > 50%, the next Damage received will not lead to your defeat (one activation each Round)"
1399,Taiwan-style Madhead,Fire,Level Up Elements,1,500K,0,6,99,Special Level Up,2600,100,100,2600,100,100,Freeze,Inactivate all enemies and turn them into Water Attribute for 3 Rounds.,,,Ultimate Soul Reaping,"Launch an extra attack of as much as 6x of the Monster's Attack each Round to the enemy whose HP is below 40%, regardless of Attribute and Defense"
1400,Hong Kong-style Madhead,Water,Level Up Elements,1,500K,0,6,99,Special Level Up,2016,729,802,2016,729,802,Freeze,Inactivate all enemies and turn them into Water Attribute for 3 Rounds.,,,Ultimate Soul Reaping,"Launch an extra attack of as much as 6x of the Monster's Attack each Round to the enemy whose HP is below 40%, regardless of Attribute and Defense"
1404,Princess Iron Fan - Rakshasa,Earth,Demon,99,8000K,8000000,7,20,Sindhu,1245,1434,93,2317,2570,407,Flame-quenching Fan,"Earth Damages can overpower Fire enemies.  For each group of Earth Runestones dissolved, the Monster launches an extra Earth attack, to the max 10 extra attacks.  This Skill can be deactivated anytime.  Upon deactivation of the Skill, turn all Runestones into Earth Runestones.",,,Forest of Gods & Demons,"When the Team consists of only Earth Demons, or Earth Gods and Earth Demons, Team Attack x 3.5; for every 4 groups of Runestones dissolved, 3 Earth Runestones will be generated."
1405,Transcendental Sage - Tang Sanzang,Light,God,99,8000K,8000000,7,20,Sindhu,1922,873,264,3808,1614,601,Justice of Light,"For 1 Round, Light Attack and Recovery x 2; when all Members have the same Attack basic value, all Runestones also possess 50% effect of other Attributive Runestones.",,,Convergence of Races - Light,"If there are 4 or more Races in the Team, Light Attack x 4.5."
1406,Aloha the Wave-riding Killer Whale,Water,Beast,99,4500K,4500000,7,16,Druids of Nature,1708,817,152,3349,1486,354,Element Equalization - EX,"Extend Runestone-moving time to 9 seconds for 1 Round.  Turn all Runestones into fixed numbers of Enchanted Water, Enchanted Fire, Enchanted Earth, Enchanted Light and Enchanted Dark Runestones.",,,Heart of Animals - EX,"When the Team consists of only Beasts, Team Attack x 5; Attributive Runestones also possess 25% effect of Heart Runestones (effects can be superimposed)."
1407,Boyciana the Fire-controlling Stork,Fire,Beast,99,4500K,4500000,7,16,Druids of Nature,1694,875,129,3323,1590,300,Beastly Assistance - EX,"Team Attack x 1.8 for 1 Round.  The number of Rounds that the effect lasts will increase by the number of Beasts in the Team, to the max 6 Rounds.",,,Domination of Inferno - Beasts,Fire Attack x 3; Recovery x 2.  Fire Beast Attack x 4.5.
1408,Yunyang the Lute-playing Panda,Earth,Beast,99,4500K,4500000,7,16,Druids of Nature,1928,740,130,3782,1346,302,Fatal Call - Earth,Drop rate of Heart Runestones will be transferred to that of Earth Runestones. (the Skill stays in play until reactivation of the Skill or defeated),,,Domination of Terra - Beasts,Earth Attack x 3; Recovery x 2.  Earth Beast Attack x 4.5.
1409,Dodo the Ice-breaking Penguin,Light,Beast,99,4500K,4500000,7,16,Druids of Nature,1737,766,167,3408,1393,388,Tricolor Pledge - Beasts,Beast Attack x 2 until not attacks of 3 Attributes are triggered in a Round.,,,Heart of Animals - EX,"When the Team consists of only Beasts, Team Attack x 5; Attributive Runestones also possess 25% effect of Heart Runestones (effects can be superimposed)."
1410,Sumatra the Dream-weaving Tapir,Dark,Beast,99,4500K,4500000,7,16,Druids of Nature,1648,905,131,3232,1645,303,Dream Devourer - EX,"If no Heart Runestones are dissolved in the Round, Team Attack x 2.2 for that Round; otherwise, Team Attack and Recovery x 1.5.",,,Alliance of Beasts - EX,"When the Team consists of only Beasts, Team Attack x 5; by dissolving 3 types of Runestones, Team Attack x 1.5 additionally."
1411,Vicious Killing Fish,Water,Demon,70,1500K,743597,4,5,Demon Imbeciles,255,401,34,632,948,232,Rune Enchantment - Water,Turn all Water Runestones into Enchanted Water Runestones.,,,Anger of the Ocean,Water Attack x 2
1412,Fiery Sealed Zombie,Fire,Demon,70,1500K,743597,4,5,Demon Imbeciles,267,429,31,664,1014,207,Rune Enchantment - Fire,Turn all Fire Runestones into Enchanted Fire Runestones.,,,Anger of the Flame,Fire Attack x 2
1413,Mutant Ravenous Ghoul,Earth,Demon,70,1500K,743597,4,5,Demon Imbeciles,294,370,32,730,873,217,Rune Enchantment - Earth,Turn all Earth Runestones into Enchanted Earth Runestones.,,,Anger of the Woods,Earth Attack x 2
1414,Fatal Cursed Wraith,Light,Demon,70,1500K,743597,4,5,Demon Imbeciles,265,373,35,658,882,239,Rune Enchantment - Light,Turn all Light Runestones into Enchanted Light Runestones.,,,Anger of the Light,Light Attack x 2
1415,Brutal Skeleton Butcher,Dark,Demon,70,1500K,743597,4,5,Demon Imbeciles,249,441,32,618,1042,215,Rune Enchantment - Dark,Turn all Dark Runestones into Enchanted Dark Runestones.,,,Anger of the Darkness,Dark Attack x 2
1416,Susanoo,Water,God,50,4000K,1000000,5,8,Yamato,665,334,89,1293,608,199,Slight Changes - Water,Turn at most 3 Fire Runestones into Water Runestones,,,Howl of Billows,Water Attack x 3.5.
1417,Adventurous Traveller of Sea - Susanoo,Water,God,99,5000K,5000000,6,14,Yamato,1523,766,205,3017,1416,466,Blaze Slasher - Billows of Runes,"All Runestones also possess 75% effect of Water Runestones.  If there are Water, Fire, Earth, Light and Dark Runestones upon Skill activation, the current Skill CD -3.",,,Howl of Billows,Water Attack x 3.5.
1418,Kagutsuchi,Fire,God,50,4000K,1000000,5,8,Yamato,710,349,71,1381,635,158,Slight Changes - Fire,Turn at most 3 Earth Runestones into Fire Runestones,,,Howl of Blaze,Fire Attack x 3.5.
1419,Blaze of Evil Birthmark - Kagutsuchi,Fire,God,99,5000K,5000000,6,14,Yamato,1626,800,162,3221,1479,369,Slash of Roaring Flames,"Team Attack x 2 for 1 Round; if there are 5 or more Fire Runestones upon Skill activation, Team Attack x 2 for 2 Rounds.",,,Howl of Blaze,Fire Attack x 3.5.
1420,Inari,Earth,Beast,50,4000K,1000000,5,8,Yamato,817,310,39,1535,543,87,Slight Changes - Earth,Turn at most 3 Water Runestones into Earth Runestones,,,Might of Terra - Beasts,Earth Attack x 2; Recovery x 1.5.  Earth Beast Attack x 3.5.
1421,Fox of Myriad Forms - Inari,Earth,Beast,99,5000K,5000000,6,14,Yamato,1980,754,95,3883,1370,221,Coronation of Beasts,"Turn Earth Runestones into Enchanted Earth Runestones.  If there are no Heart Runestones upon Skill activation, turn all Runestones into Beast Runestones.",,,Alliance of Beasts,"When the Team consists of only Beasts, Team Attack x 4.5."
1422,Kushinada,Light,Human,50,4000K,1000000,5,8,Yamato,582,287,99,1114,549,216,Slight Changes - Light,Turn at most 3 Dark Runestones into Light Runestones,,,Howl of Beam,Light Attack x 3.5.
1423,Maiden of Izumo - Kushinada,Light,Human,99,5000K,5000000,6,14,Yamato,1434,706,244,2814,1387,547,Charm of Flowing Glow,"For 3 Rounds, if all present Light Runestones are dissolved, turn the bottom row of Runestones into Enchanted Light Runestones at the beginning of next Round; otherwise, turn 3 Runestones into Enchanted Light Runestones (Heart Runestones rank first in priority).",,,Howl of Beam,Light Attack x 3.5.
1424,Izanami,Dark,God,50,4000K,1000000,5,8,Yamato,649,390,67,1262,709,150,Slight Changes - Dark,Turn at most 3 Light Runestones into Dark Runestones,,,Balance of Element Powers - Dark,"Dark HP, Attack and Recovery x 2."
1425,Ancient Book of Evil Spells - Izanami,Dark,God,99,5000K,5000000,6,14,Yamato,1485,893,154,2942,1651,351,Coronation - Dark & Gods,Turn Dark Runestones into Dark God Runestones; Light Runestones into Dark Runestones.,,,Balance of Element Powers - Dark,"Dark HP, Attack and Recovery x 2."
